China,Reforming + extraction,naphtha,Mixed xylenes,Small,Low,500000,0.75,2025,400000000,47500000,600,2,0.648,9.478169879,27.77777778,44,0.857142857,0.25,12.1
China,PX oxidation (Amoco) + purif.,paraxylene,PTA (terephthalic acid),Large,High,1500000,0.95,2025,450000000,127500000,850,4,0.72,9.478169879,27.77777778,41.5,0.905660377,0.25,12.1
China,PX oxidation (Amoco) + purif.,paraxylene,PTA (terephthalic acid),Large,Low,1500000,0.75,2025,450000000,127500000,850,4,0.72,9.478169879,27.77777778,41.5,0.905660377,0.25,12.1
China,PX oxidation (Amoco) + purif.,paraxylene,PTA (terephthalic acid),Small,High,500000,0.95,2025,300000000,42500000,850,4,0.72,9.478169879,27.77777778,41.5,0.905660377,0.25,12.1
China,PX oxidation (Amoco) + purif.,paraxylene,PTA (terephthalic acid),Small,Low,500000,0.75,2025,300000000,42500000,850,4,0.72,9.478169879,27.77777778,41.5,0.905660377,0.25,12.1
China,Slurry/gas/solution,naphtha,Polyethylene (PE total),Large,High,1500000,0.95,2025,600000000,135000000,600,2,0.9,9.478169879,27.77777778,44,0.857142857,0.25,12.1
China,Slurry/gas/solution,naphtha,Polyethylene (PE total),Large,Low,1500000,0.75,2025,600000000,135000000,600,2,0.9,9.478169879,27.77777778,44,0.857142857,0.25,12.1
China,Slurry/gas/solution,naphtha,Polyethylene (PE total),Small,High,500000,0.95,2025,350000000,45000000,600,2,0.9,9.478169879,27.77777778,44,0.857142857,0.25,12.1
China,Slurry/gas/solution,naphtha,Polyethylene (PE total),Small,Low,500000,0.75,2025,350000000,45000000,600,2,0.9,9.478169879,27.77777778,44,0.857142857,0.25,12.1
China,Spheripol/Unipol (gas-phase loop),naphtha,Polypropylene (PP),Large,High,1500000,0.95,2025,450000000,135000000,600,2,0.9,9.478169879,27.77777778,44,0.857142857,0.25,12.1
China,Spheripol/Unipol (gas-phase loop),naphtha,Polypropylene (PP),Large,Low,1500000,0.75,2025,450000000,135000000,600,2,0.9,9.478169879,27.77777778,44,0.857142857,0.25,12.1
